,random, mc dropout/max entropy ebmal, mc dropout/f ebmal, mc dropout/max entropy no secondary, mc dropout/f no secondary, bootstrap/max entropy ebmal, bootstrap/f ebmal, bootstrap/max entropy no secondary, bootstrap/f no secondary,percentage
0.5,0.7 +/- 0.8,0.6 +/- 0.5,0.8 +/- 0.7,0.8 +/- 0.7,0.4 +/- 0.5,1.2 +/- 0.7,0.4 +/- 0.5,0.4 +/- 0.8,0.4 +/- 0.5,0.5
0.6,2.5 +/- 0.9,1.4 +/- 0.8,1.2 +/- 0.4,4.4 +/- 3.3,1.8 +/- 1.2,2.2 +/- 1.0,1.8 +/- 0.7,3.2 +/- 3.0,2.6 +/- 1.5,0.6
0.7,5.7 +/- 1.3,4.2 +/- 2.0,2.6 +/- 0.8,13.2 +/- 4.5,4.0 +/- 2.7,3.2 +/- 1.2,4.4 +/- 1.0,7.4 +/- 5.4,8.4 +/- 3.1,0.7
0.8,22.4 +/- 8.7,15.6 +/- 3.4,13.6 +/- 5.6,30.0 +/- 5.5,21.2 +/- 10.9,14.2 +/- 5.1,12.6 +/- 4.8,31.4 +/- 16.7,24.4 +/- 5.7,0.8
0.85,63.9 +/- 10.5,27.4 +/- 6.0,38.4 +/- 7.4,66.4 +/- 20.8,57.2 +/- 11.0,27.4 +/- 7.6,30.8 +/- 6.1,57.6 +/- 23.2,53.4 +/- 9.2,0.85
0.88,126.2 +/- 4.1,42.0 +/- 7.2,53.4 +/- 3.6,97.4 +/- 16.9,86.8 +/- 16.1,50.8 +/- 8.1,45.6 +/- 6.5,97.0 +/- 11.1,98.2 +/- 12.3,0.88
0.9,144.0 +/- 5.7,55.8 +/- 6.1,62.4 +/- 6.5,115.4 +/- 14.5,106.6 +/- 9.4,72.8 +/- 9.2,65.0 +/- 12.7,113.8 +/- 6.4,122.8 +/- 0.7,0.9
0.92,172.8 +/- 9.8,78.4 +/- 7.9,81.0 +/- 10.6,129.8 +/- 6.7,129.6 +/- 5.2,89.8 +/- 13.5,86.4 +/- 9.4,125.6 +/- 5.3,133.0 +/- 3.3,0.92
0.94,221.7 +/- 8.9,107.4 +/- 12.1,105.6 +/- 6.3,152.2 +/- 3.1,145.0 +/- 4.3,110.6 +/- 10.9,116.2 +/- 11.8,145.0 +/- 4.6,150.6 +/- 2.1,0.94
0.96,0,136.2 +/- 10.9,138.6 +/- 15.6,173.6 +/- 7.6,178.2 +/- 11.5,150.0 +/- 9.5,151.0 +/- 19.3,167.0 +/- 4.9,171.8 +/- 7.1,0.96
0.98,0,208.0 +/- 18.1,229.8 +/- 15.9,219.8 +/- 12.4,220.4 +/- 6.8,200.6 +/- 14.2,203.0 +/- 16.8,209.4 +/- 6.4,206.6 +/- 6.3,0.98
